screen_x,screen_y
836,231
935,308
983,288
936,308
864,288
912,216
912,231
886,166
935,249
960,166
935,154
984,77
960,332
808,83
858,166
864,77
886,166
836,83
864,83
886,166
960,154
864,77
912,144
864,154
858,249
816,166
808,332
864,249
808,332
738,308
674,270
674,270
674,270
985,415
1037,308
1037,360
909,332
909,462
1010,462
934,498
909,498
1010,462
541,308
555,332
505,385
505,385
541,308
505,385
518,462
570,385
518,231
518,308
518,308
726,462
909,385
882,385
906,332
909,462
882,332
934,332
909,288
909,360
882,154
909,77
909,288
960,308
1230,288
1248,288
1329,288
987,0
987,0
603,90
853,108
903,216
932,90
853,90
932,90
906,332
877,415
906,0
906,0
790,98
698,180
800,90
640,0
934,166
726,77
808,154
787,83
893,432
1031,205
1047,135
872,270
981,135
1040,63
1033,56
1086,120
1050,60
995,170
995,56
1050,227
1066,240
977,227
977,113
1031,341
1050,240
996,180
978,127
1050,254
941,120
960,127
978,0
862,288
886,254
903,254
901,337
844,337
960,202
886,240
941,190
1050,127
978,190
978,180
924,180
941,240
1014,240
1033,240
978,227
960,240
1014,180
883,60
1014,56
1014,0
923,180
941,190
1014,120
941,180
923,180
941,180
903,120
978,60
923,120
978,180
1050,0
941,180
905,180
923,190
995,240
941,180
960,180
924,127
941,190
960,127
1014,300
960,240
924,120
978,254
905,127
941,180
941,127
924,127
941,190
941,127
941,190
905,180
924,127
960,190
960,190
960,190
960,127
869,190
978,254
888,190
941,190
905,127
924,127
995,240
941,135
1031,254
960,190
960,190
960,190
960,270
960,127
888,202
905,190
978,63
924,127
1031,60
1014,190
1014,63
1007,108
992,240
1070,216
1097,270
1021,227
1170,93
1114,90
1140,147
1238,140
1238,140
944,441
1021,315
1021,234
1070,187
1290,422
1083,441
1097,469
1050,516
1005,422
1063,441
1066,328
1063,392
1114,392
1066,469
1083,540
1066,281
1021,514
1070,450
960,225
990,270
975,328
1021,196
1083,375
1005,281
1138,341
1101,324
1120,324
1052,308
1024,378
1056,378
1056,411
1007,360
1038,343
1101,360
1088,205
1164,343
1176,294
1101,196
1101,196
1114,245
1184,378
990,360
1083,294
1052,360
990,343
1038,294
1070,270
1052,294
1114,392
1097,360
1133,343
1207,216
1158,328
1158,405
1158,257
1219,375
1181,343
1188,281
1158,294
1170,375
1249,315
1188,294
1230,375
1158,205
1164,308
1152,240
1171,317
1106,341
1120,360
1196,317
1145,360
1152,381
1164,420
1152,300
1120,381
1184,317
1196,317
1152,254
976,254
992,300
975,341
1038,317
1021,341
975,227
1007,216
640,108
660,205
692,216
566,216
576,154
608,162
598,205
608,205
598,196
660,216
640,162
640,170
629,205
640,324
748,77
755,190
768,0
960,308
1088,337
1083,180
1083,180
1073,360
1088,337
1088,308
1133,190
1280,135
